result_id,start_date,altitude,nirca_only,regionals,nationals,sport_name,team_id,event_name,gender,temperature,dew_point,humidity,wind_speed,precipitation_mm,result_time,athlete_id,gender_1,grade,date,seconds,gender_clean,grade_num,year,prior_count,last_time,days_since,mean_prior,best_prior,recent3_mean,ewma_time,history_cv,trend_recent,median_prior,target_seconds,target_log,log_last_time,log_mean_prior,log_median_prior,log_best_prior,log_recent3_mean,log_ewma_time,d_log_last_time,d_log_mean_prior,d_log_best_prior,d_log_recent3_mean,d_log_ewma_time,target_resid
99190,2025-03-21,812.0,False,False,False,Outdoor Track,1,1500m,,,,,,,5:27.22,1,M,,2025-03-21,327.22,M,,2025,1,326.01,364.0,326.01,326.01,326.01,326.01,0.0,0.0,326.01,327.22,5.7906327275549305,5.7869280557428695,5.7869280557428695,5.7869280557428695,5.7869280557428695,5.7869280557428695,5.7869280557428695,0.0,0.0,0.0,0.0,0.0,0.0037046718120610223
102963,2025-04-05,147.0,True,False,True,Outdoor Track,1,1500m,M,82.29,70.68,68.0,12.75,,5:09.54,1,M,,2025-04-05,309.54,M,,2025,2,327.22,15.0,326.615,326.01,326.615,327.0006875,0.0026195955642904197,0.0,326.9175,309.54,5.7350873244846134,5.7906327275549305,5.788782107222073,5.789707845487893,5.7869280557428695,5.788782107222073,5.789962273341526,0.0009248820670375579,-0.0009257382658196533,-0.0027797897450234643,-0.0009257382658196533,0.0002544278536333877,-0.05462052100327952
126494,2026-03-20,812.0,False,False,False,Outdoor Track,1,1500m,,,,,,,5:16.50,1,M,Sr,2026-03-20,316.5,M,4.0,2026,3,309.54,349.0,320.92333333333335,309.54,320.92333333333335,314.02218750000003,0.030776206536437003,0.0,318.0775,316.5,5.757323241584231,5.7350873244846134,5.771202257636117,5.762295063779375,5.7350873244846134,5.771202257636117,5.7494636442399205,-0.02720773929476117,0.00890719385674199,-0.02720773929476117,0.00890719385674199,-0.012831419539454103,-0.0049718221951433605
129308,2026-04-11,939.0,True,False,True,Outdoor Track,1,1500m,M,53.31,29.91,40.0,8.05,,5:07.06,1,M,,2026-04-11,307.06,M,,2026,4,316.5,22.0,319.8175,309.54,317.75333333333333,317.90993749999996,0.02614664403193864,0.0,319.8175,307.06,5.727043168230753,5.757323241584231,5.767750520603739,5.767750520603739,5.7350873244846134,5.761275400442024,5.761768127258314,-0.010427279019507907,0.0,-0.032663196119125715,-0.006475120161715253,-0.005982393345425052,-0.04070735237298617
122865,2026-02-28,737.0,True,False,False,Indoor Track,1,3000m,,,,,,,11:44.44,1,M,,2026-02-28,704.44,M,,2026,1,693.15,364.0,693.1500000000001,693.15,693.15,693.15,0.0,0.0,693.15,704.44,6.557403160926884,6.541246425984385,6.541246425984385,6.541246425984385,6.541246425984385,6.541246425984385,6.541246425984385,0.0,0.0,0.0,0.0,0.0,0.016156734942499362
15468,2024-03-22,812.0,False,False,False,Outdoor Track,1,5000m,,,,,,,19:38.44,1,M,,2024-03-22,1178.44,M,,2024,1,1241.58,342.0,1241.58,1241.58,1241.58,1241.58,0.0,0.0,1241.58,1178.44,7.071946808903621,7.124140041051793,7.124140041051793,7.124140041051793,7.124140041051793,7.124140041051793,7.124140041051793,0.0,0.0,0.0,0.0,0.0,-0.05219323214817173
18508,2024-04-06,147.0,True,False,True,Outdoor Track,1,5000m,F,55.06,34.12,45.0,14.97,,19:30.67,1,M,,2024-04-06,1170.67,M,,2024,2,1178.44,15.0,1210.01,1178.44,1210.01,1189.884125,0.03689781255041136,0.0,1194.225,1170.67,7.065331513463254,7.071946808903621,7.098383903019446,7.085252718410599,7.071946808903621,7.098383903019446,7.081611207414844,-0.013305909506978075,0.01313118460884688,-0.013305909506978075,0.01313118460884688,-0.0036415109957550484,-0.019921204947345394
77075,2024-10-08,734.0,False,False,False,Cross Country,1,5000m,M,67.6,46.11,46.0,11.5,,20:24.00,1,M,,2024-10-08,1224.0,M,,2024,3,1170.67,185.0,1196.8966666666668,1170.67,1196.8966666666668,1180.99675,0.03249355808604509,0.0,1190.3400000000001,1224.0,7.1098794630722715,7.065331513463254,7.087487374903158,7.081994259582736,7.065331513463254,7.087487374903158,7.074114064288411,-0.01666274611948193,0.005493115320422071,-0.01666274611948193,0.005493115320422071,-0.007880195294324821,0.027885203489535826
99195,2025-03-21,812.0,False,False,False,Outdoor Track,1,5000m,,,,,,,19:59.78,1,M,,2025-03-21,1199.78,M,,2025,4,1224.0,164.0,1203.6725000000001,1170.67,1191.0366666666666,1215.3608125,0.02868346433157587,0.0,1203.6725000000001,1199.78,7.089893485635148,7.1098794630722715,7.093132578900568,7.093132578900568,7.065331513463254,7.082579355335367,7.102796276709841,0.016746884171703336,0.0,-0.02780106543731442,-0.010553223565200831,0.00966369780927323,-0.0032390932654200455
103601,2025-04-05,147.0,True,False,True,Outdoor Track,1,5000m,M,71.49,63.54,76.0,19.69,,19:29.60,1,M,,2025-04-05,1169.6,M,,2025,5,1199.78,15.0,1202.8939999999998,1170.67,1198.1499999999999,1201.2007624999999,0.024898776596982714,-0.008687382263108796,1202.8939999999998,1169.6,7.064417088995514,7.089893485635148,7.092485599041789,7.092485599041789,7.065331513463254,7.088533979518577,7.0910769708908585,-0.0025921134066413387,0.0,-0.027154085578535714,-0.003951619523212102,-0.0014086281509309018,-0.02806851004627564
